球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
尼克斯,小凯文-麦卡勒,Kevin McCullar Jr.,9,后卫,198,95,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_小凯文-麦卡勒.png
尼克斯,德朗-赖特,Delon Wright,-,后卫,196,84,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_德朗-赖特.png
尼克斯,兰德里-沙梅特,Landry Shamet,44,后卫,193,86,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_兰德里-沙梅特.png
尼克斯,杰伦-布伦森,Jalen Brunson,11,后卫,188,86,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_杰伦-布伦森.png
尼克斯,马洪-博尚,MarJon Beauchamp,-,前锋,201,90,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_马洪-博尚.png
尼克斯,OG-阿奴诺比,OG Anunoby,8,前锋/后卫,201,109,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_OG-阿奴诺比.png
尼克斯,普雷舍斯-阿丘瓦,Precious Achiuwa,5,前锋,203,110,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_普雷舍斯-阿丘瓦.png
尼克斯,卡梅伦-佩恩,Cameron Payne,1,后卫,191,83,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_卡梅伦-佩恩.png
尼克斯,PJ-塔克,P.J. Tucker,-,前锋,196,111,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_PJ-塔克.png
尼克斯,泰勒-科勒克,Tyler Kolek,13,后卫,191,88,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_泰勒-科勒克.png
尼克斯,约什-哈特,Josh Hart,3,后卫,193,98,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_约什-哈特.png
尼克斯,卡尔-安东尼-唐斯,Karl-Anthony Towns,32,中锋/前锋,213,112,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_卡尔-安东尼-唐斯.png
尼克斯,安东-沃特森,Anton Watson,28,前锋,203,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_安东-沃特森.png
尼克斯,米卡尔-布里奇斯,Mikal Bridges,25,后卫/前锋,198,95,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_米卡尔-布里奇斯.png
尼克斯,阿里尔-胡克波尔蒂,Ariel Hukporti,55,中锋,211,112,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/尼克斯_阿里尔-胡克波尔蒂.png
步行者,迈尔斯-特纳,Myles Turner,33,中锋/前锋,211,113,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_迈尔斯-特纳.png
步行者,托尼-布拉德利,Tony Bradley,13,中锋/前锋,211,112,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_托尼-布拉德利.png
步行者,约翰尼-弗菲,Johnny Furphy,12,后卫,206,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_约翰尼-弗菲.png
步行者,詹姆斯-约翰逊,James Johnson,16,前锋,201,109,15,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_詹姆斯-约翰逊.png
步行者,帕斯卡尔-西亚卡姆,Pascal Siakam,43,前锋,203,111,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_帕斯卡尔-西亚卡姆.png
步行者,泰雷塞-哈利伯顿,Tyrese Haliburton,-,后卫,196,84,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_泰雷塞-哈利伯顿.png
步行者,阿龙-内史密斯,Aaron Nesmith,23,后卫/前锋,198,98,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_阿龙-内史密斯.png
步行者,奥比·托平,Obi Toppin,1,前锋,206,100,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_奥比·托平.png
步行者,托马斯-布莱恩特,Thomas Bryant,3,中锋/前锋,208,112,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_托马斯-布莱恩特.png
步行者,安德鲁-内姆布哈德,Andrew Nembhard,2,后卫/前锋,193,87,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_安德鲁-内姆布哈德.png
步行者,本尼迪克特-马瑟林,Bennedict Mathurin,00,后卫/前锋,196,95,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_本尼迪克特-马瑟林.png
步行者,T.J. 麦康奈尔,T.J. McConnell,9,后卫,185,86,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_T.J. 麦康奈尔.png
步行者,以赛亚-杰克逊,Isaiah Jackson,22,前锋,206,93,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_以赛亚-杰克逊.png
步行者,贾雷斯-沃克,Jarace Walker,5,前锋,201,107,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_贾雷斯-沃克.png
步行者,本-谢泼德,Ben Sheppard,26,后卫,198,86,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_本-谢泼德.png
步行者,昆顿-杰克逊,Quenton Jackson,29,后卫,196,78,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_昆顿-杰克逊.png
步行者,雷杰-丹尼斯,RayJ Dennis,10,后卫,188,82,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_雷杰-丹尼斯.png
步行者,恩里克-弗里曼,Enrique Freeman,8,前锋,201,100,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/步行者_恩里克-弗里曼.png
雄鹿,扬尼斯-阿德托昆博,Giannis Antetokounmpo,34,前锋,211,110,11,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_扬尼斯-阿德托昆博.png
雄鹿,泰勒-史密斯,Tyler Smith,21,前锋,206,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_泰勒-史密斯.png
雄鹿,小安德烈-杰克逊,Andre Jackson Jr.,44,后卫,198,95,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_小安德烈-杰克逊.png
雄鹿,布鲁克-洛佩兹,Brook Lopez,11,中锋,216,128,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_布鲁克-洛佩兹.png
雄鹿,莱恩-罗林斯,Ryan Rollins,13,后卫,191,82,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雄鹿_莱恩-罗林斯.png
