球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
热火,以赛亚-斯蒂文斯,Isaiah Stevens,-,后卫,183,84,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_以赛亚-斯蒂文斯.png
热火,佩勒-拉松,Pelle Larsson,9,后卫,196,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_佩勒-拉松.png
热火,安德鲁-维金斯,Andrew Wiggins,22,前锋,201,89,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_安德鲁-维金斯.png
热火,克莱尔-韦尔,Kel'el Ware,7,中锋,213,104,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_克莱尔-韦尔.png
热火,亚历克-伯克斯,Alec Burks,18,后卫,196,97,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_亚历克-伯克斯.png
热火,海伍德-海史密斯,Haywood Highsmith,24,前锋,196,100,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_海伍德-海史密斯.png
热火,德魯-史密斯,Dru Smith,12,后卫,188,92,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_德魯-史密斯.png
热火,特里-罗齐尔,Terry Rozier,2,后卫,185,86,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_特里-罗齐尔.png
热火,邓肯-罗宾逊,Duncan Robinson,55,前锋,201,98,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_邓肯-罗宾逊.png
热火,巴姆-阿德巴约,Bam Adebayo,13,中锋/前锋,206,116,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_巴姆-阿德巴约.png
热火,小海梅-哈克斯,Jaime Jaquez Jr.,11,后卫,198,102,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_小海梅-哈克斯.png
热火,凯沙德-约翰逊,Keshad Johnson,16,前锋,201,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_凯沙德-约翰逊.png
热火,达维昂-米切尔,Davion Mitchell,45,后卫,183,92,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_达维昂-米切尔.png
热火,李凯尔,Kyle Anderson,20,前锋/后卫,206,104,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_李凯尔.png
热火,凯文-乐福,Kevin Love,42,前锋/中锋,203,114,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_凯文-乐福.png
热火,泰勒-希罗,Tyler Herro,14,后卫,196,88,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_泰勒-希罗.png
猛龙,贾米森-巴特尔,Jamison Battle,77,前锋,201,100,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_贾米森-巴特尔.png
猛龙,格雷迪-迪克,Gradey Dick,1,后卫/前锋,198,91,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_格雷迪-迪克.png
猛龙,奥查伊-阿巴吉,Ochai Agbaji,30,后卫,196,98,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_奥查伊-阿巴吉.png
猛龙,贾马尔-谢德,Jamal Shead,23,后卫,185,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_贾马尔-谢德.png
猛龙,乌尔里希-乔姆奇,Ulrich Chomche,22,中锋,211,107,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_乌尔里希-乔姆奇.png
猛龙,贾科比-沃尔特,Ja'Kobe Walter,14,后卫,196,82,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_贾科比-沃尔特.png
猛龙,A.J. 劳森,A.J. Lawson,-,后卫,198,81,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_A.J. 劳森.png
猛龙,雅各布-珀尔特尔,Jakob Poeltl,19,中锋,213,118,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_雅各布-珀尔特尔.png
猛龙,克里斯-布切尔,Chris Boucher,25,前锋,206,91,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_克里斯-布切尔.png
猛龙,乔纳森-莫格博,Jonathan Mogbo,2,前锋,206,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_乔纳森-莫格博.png
猛龙,贾里德-罗登,Jared Rhoden,8,后卫,196,95,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_贾里德-罗登.png
猛龙,加雷特-坦普尔,Garrett Temple,17,后卫/前锋,196,88,14,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_加雷特-坦普尔.png
猛龙,斯科蒂-巴恩斯,Scottie Barnes,4,前锋/后卫,201,107,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_斯科蒂-巴恩斯.png
猛龙,伊曼纽尔-奎克利,Immanuel Quickley,5,后卫,188,86,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_伊曼纽尔-奎克利.png
猛龙,布兰登-英格拉姆,Brandon Ingram,3,前锋,203,86,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_布兰登-英格拉姆.png
猛龙,RJ 巴雷特,RJ Barrett,9,前锋/后卫,198,97,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_RJ 巴雷特.png
猛龙,科尔-斯威德,Cole Swider,13,-,203,100,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_科尔-斯威德.png
猛龙,奥兰多-罗宾逊,Orlando Robinson,59,-,208,107,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/猛龙_奥兰多-罗宾逊.png
篮网,扎伊尔-威廉姆斯,Ziaire Williams,8,前锋,206,84,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_扎伊尔-威廉姆斯.png
篮网,达里克-怀特黑德,Dariq Whitehead,-,后卫/前锋,198,100,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_达里克-怀特黑德.png
篮网,泰雷斯-马丁,Tyrese Martin,13,前锋,198,98,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_泰雷斯-马丁.png
篮网,里斯-比克曼,Reece Beekman,4,后卫,191,86,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_里斯-比克曼.png
篮网,德安东尼-梅尔顿,De'Anthony Melton,14,后卫,191,91,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_德安东尼-梅尔顿.png
篮网,丹吉洛-拉塞尔,D'Angelo Russell,1,后卫,191,88,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_丹吉洛-拉塞尔.png
篮网,托桑-埃夫布翁万,Tosan Evbuomwan,12,前锋,201,98,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_托桑-埃夫布翁万.png
篮网,戴罗恩-夏普,Day'Ron Sharpe,20,中锋,206,120,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_戴罗恩-夏普.png
篮网,泰森-埃蒂安,Tyson Etienne,10,后卫,188,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_泰森-埃蒂安.png
篮网,卡梅隆-约翰逊,Cameron Johnson,2,前锋,203,95,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_卡梅隆-约翰逊.png
篮网,尼古拉斯-克拉克斯顿,Nic Claxton,33,中锋,211,98,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_尼古拉斯-克拉克斯顿.png
篮网,马克斯韦尔-刘易斯,Maxwell Lewis,27,前锋,201,98,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_马克斯韦尔-刘易斯.png
篮网,基恩-约翰逊,Keon Johnson,45,后卫,196,84,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_基恩-约翰逊.png
篮网,特伦顿-沃特福德,Trendon Watford,9,后卫/前锋,203,107,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_特伦顿-沃特福德.png
篮网,卡姆-托马斯,Cam Thomas,24,后卫,191,95,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_卡姆-托马斯.png
篮网,诺厄-克洛尼,Noah Clowney,21,前锋/中锋,206,95,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_诺厄-克洛尼.png
篮网,杰伦-威尔逊,Jalen Wilson,22,前锋,198,100,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/篮网_杰伦-威尔逊.png
76人,埃里克-戈登,Eric Gordon,23,后卫,191,98,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_埃里克-戈登.png
76人,贾里德-麦凯恩,Jared McCain,20,后卫,191,88,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_贾里德-麦凯恩.png
76人,盖尔雄-亚布塞莱,Guerschon Yabusele,28,前锋,203,120,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_盖尔雄-亚布塞莱.png
76人,安德鲁-德拉蒙德,Andre Drummond,1,中锋,211,127,12,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_安德鲁-德拉蒙德.png
76人,里奇-康西尔四世,Ricky Council IV,14,后卫,198,94,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_里奇-康西尔四世.png
76人,昆汀-格雷姆斯,Quentin Grimes,5,后卫,193,95,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_昆汀-格雷姆斯.png
76人,亚历克斯-里斯,Alex Reese,65,前锋/中锋,206,111,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_亚历克斯-里斯.png
76人,贾里德-巴特勒,Jared Butler,12,后卫,191,88,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_贾里德-巴特勒.png
76人,贾斯汀-爱德华兹,Justin Edwards,19,前锋,201,92,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_贾斯汀-爱德华兹.png
76人,保罗-乔治,Paul George,8,前锋,203,100,14,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_保罗-乔治.png
76人,朗尼-沃克四世,Lonnie Walker IV,16,后卫/前锋,193,93,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_朗尼-沃克四世.png
76人,乔尔-恩比德,Joel Embiid,21,中锋/前锋,213,127,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_乔尔-恩比德.png
76人,泰雷塞-马克西,Tyrese Maxey,-,后卫,188,91,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_泰雷塞-马克西.png
76人,杰夫-道丁,Jeff Dowtin Jr.,11,后卫,191,80,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_杰夫-道丁.png
76人,凯利-乌布雷,Kelly Oubre Jr.,9,前锋/后卫,203,92,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_凯利-乌布雷.png
76人,凯尔-洛瑞,Kyle Lowry,7,后卫,183,89,18,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_凯尔-洛瑞.png
76人,杰伦-胡德-席菲诺,Jalen Hood-Schifino,17,后卫,196,95,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_杰伦-胡德-席菲诺.png
76人,阿德姆-博纳,Adem Bona,30,前锋,208,107,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/76人_阿德姆-博纳.png
黄蜂,尤素夫-努尔基奇,Jusuf Nurki?,11,中锋,213,132,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_尤素夫-努尔基奇.png
黄蜂,KJ-辛普森,K.J. Simpson,25,后卫,183,86,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_KJ-辛普森.png
黄蜂,小尼克·史密斯,Nick Smith Jr.,8,后卫,188,84,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_小尼克·史密斯.png
黄蜂,塔什-吉布森,Taj Gibson,67,前锋,206,105,15,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_塔什-吉布森.png
黄蜂,特雷-曼,Tre Mann,23,后卫,191,81,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_特雷-曼.png
黄蜂,达米恩-鲍,Damion Baugh,7,后卫,193,88,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_达米恩-鲍.png
黄蜂,拉梅洛-鲍尔,LaMelo Ball,1,后卫,201,82,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_拉梅洛-鲍尔.png
黄蜂,马克-威廉姆斯,Mark Williams,5,中锋,213,109,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_马克-威廉姆斯.png
黄蜂,约什-奥科吉,Josh Okogie,12,后卫,193,97,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_约什-奥科吉.png
黄蜂,小温德尔-摩尔,Wendell Moore Jr.,9,后卫,196,98,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_小温德尔-摩尔.png
黄蜂,约什-格林,Josh Green,10,后卫,196,91,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_约什-格林.png
黄蜂,布兰登-米勒,Brandon Miller,24,前锋,201,91,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_布兰登-米勒.png
黄蜂,格兰特-威廉姆斯,Grant Williams,2,前锋,198,107,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_格兰特-威廉姆斯.png
黄蜂,达奎恩-杰弗里斯,DaQuan Jeffries,3,后卫/前锋,196,101,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_达奎恩-杰弗里斯.png
黄蜂,穆萨-迪亚巴特,Moussa Diabate,14,前锋,206,95,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_穆萨-迪亚巴特.png
黄蜂,塞斯-库里,Seth Curry,30,后卫,185,84,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_塞斯-库里.png
黄蜂,蒂贾内-萨朗,Tidjane Salaun,31,前锋,203,94,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_蒂贾内-萨朗.png
黄蜂,迈尔斯-布里奇斯,Miles Bridges,-,前锋,201,102,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/黄蜂_迈尔斯-布里奇斯.png
奇才,贾斯汀-尚帕涅,Justin Champagnie,9,后卫/前锋,198,93,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_贾斯汀-尚帕涅.png
奇才,安东尼-吉尔,Anthony Gill,16,前锋,203,104,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_安东尼-吉尔.png
奇才,萨迪克·贝,Saddiq Bey,14,后卫/前锋,201,98,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_萨迪克·贝.png
奇才,卡尔顿-卡林顿,Carlton Carrington,8,后卫,193,86,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_卡尔顿-卡林顿.png
奇才,JT-索尔,JT Thor,21,前锋,206,92,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_JT-索尔.png
奇才,凯肖恩-乔治,Kyshawn George,18,前锋,203,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_凯肖恩-乔治.png
奇才,马库斯-斯马特,Marcus Smart,36,后卫,191,100,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_马库斯-斯马特.png
奇才,杰伦-马丁,Jaylen Martin,4,后卫,198,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_杰伦-马丁.png
奇才,特里斯坦-武克切维奇,Tristan Vukcevic,00,前锋,213,100,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_特里斯坦-武克切维奇.png
奇才,里乔恩-霍姆斯,Richaun Holmes,22,前锋,206,107,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_里乔恩-霍姆斯.png
奇才,比拉尔-库利巴利,Bilal Coulibaly,-,后卫,203,88,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_比拉尔-库利巴利.png
奇才,科里-基斯珀特,Corey Kispert,24,前锋,198,102,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_科里-基斯珀特.png
奇才,AJ-约翰逊,AJ Johnson,5,后卫,196,73,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_AJ-约翰逊.png
奇才,马尔科姆-布罗格登,Malcolm Brogdon,15,后卫,193,104,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_马尔科姆-布罗格登.png
奇才,亚历山大-萨尔,Alexandre Sarr,20,中锋,213,93,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_亚历山大-萨尔.png
奇才,科尔比-琼斯,Colby Jones,1,后卫,198,94,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_科尔比-琼斯.png
奇才,克里斯-米德尔顿,Khris Middleton,32,前锋,201,101,12,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_克里斯-米德尔顿.png
奇才,乔丹-普尔,Jordan Poole,13,后卫,193,88,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/奇才_乔丹-普尔.png
雷霆,狄龙-琼斯,Dillon Jones,3,前锋,196,107,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_狄龙-琼斯.png
雷霆,杰林-威廉姆斯,Jaylin Williams,6,前锋,206,109,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_杰林-威廉姆斯.png
雷霆,布兰登-卡尔森,Branden Carlson,15,中锋,213,100,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_布兰登-卡尔森.png
雷霆,切特-霍姆格伦,Chet Holmgren,7,中锋/前锋,216,94,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_切特-霍姆格伦.png
雷霆,以赛亚-乔,Isaiah Joe,11,后卫,191,75,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_以赛亚-乔.png
雷霆,吕盖兹-多尔特,Luguentz Dort,5,后卫,193,100,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_吕盖兹-多尔特.png
雷霆,肯里奇-威廉斯,Kenrich Williams,34,后卫/前锋,198,95,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_肯里奇-威廉斯.png
雷霆,尼古拉-托皮奇,Nikola Topi?,44,后卫,198,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_尼古拉-托皮奇.png
雷霆,以赛亚-哈尔滕施泰因,Isaiah Hartenstein,55,中锋/前锋,213,113,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_以赛亚-哈尔滕施泰因.png
雷霆,杰伦-威廉姆斯,Jalen Williams,8,后卫/前锋,196,96,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_杰伦-威廉姆斯.png
雷霆,亚当·弗拉格勒,Adam Flagler,14,后卫,191,82,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_亚当·弗拉格勒.png
雷霆,谢伊-吉尔杰斯-亚历山大,Shai Gilgeous-Alexander,2,后卫,198,88,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_谢伊-吉尔杰斯-亚历山大.png
雷霆,阿龙-威金斯,Aaron Wiggins,21,后卫,196,86,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_阿龙-威金斯.png
雷霆,奥斯曼-迪昂,Ousmane Dieng,13,前锋,206,84,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_奥斯曼-迪昂.png
雷霆,卡森-华莱士,Cason Wallace,22,后卫,191,88,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_卡森-华莱士.png
雷霆,阿列克斯-卡鲁索,Alex Caruso,9,后卫,196,84,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_阿列克斯-卡鲁索.png
雷霆,阿贾伊-米切尔,Ajay Mitchell,25,后卫,196,86,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/雷霆_阿贾伊-米切尔.png
火箭,乔克-兰代尔,Jock Landale,2,中锋,211,116,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_乔克-兰代尔.png
火箭,斯蒂文-亚当斯,Steven Adams,12,中锋,211,120,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_斯蒂文-亚当斯.png
火箭,杰肖恩-泰特,Jae'Sean Tate,8,前锋,193,104,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_杰肖恩-泰特.png
火箭,卡姆-惠特莫尔,Cam Whitmore,7,前锋,201,104,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_卡姆-惠特莫尔.png
火箭,阿门-汤普森,Amen Thompson,1,后卫/前锋,201,91,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_阿门-汤普森.png
火箭,杰纳森-威廉姆斯,Nate Williams,19,后卫,196,93,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_杰纳森-威廉姆斯.png
火箭,狄龙-布鲁克斯,Dillon Brooks,9,后卫/前锋,198,102,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_狄龙-布鲁克斯.png
火箭,塔里-伊森,Tari Eason,17,前锋,203,98,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_塔里-伊森.png
火箭,阿尔佩伦-申京,Alperen Sengun,28,中锋,211,110,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_阿尔佩伦-申京.png
火箭,杰伦-格林,Jalen Green,4,后卫,193,84,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_杰伦-格林.png
火箭,大卫-罗迪,David Roddy,45,前锋,193,116,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_大卫-罗迪.png
火箭,恩法利-丹特,N'Faly Dante,3,中锋,211,104,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_恩法利-丹特.png
火箭,里德-谢泼德,Reed Sheppard,15,后卫,188,84,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_里德-谢泼德.png
火箭,阿隆-霍乐迪,Aaron Holiday,-,后卫,183,84,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_阿隆-霍乐迪.png
火箭,弗雷德-范弗利特,Fred VanVleet,5,后卫,183,89,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_弗雷德-范弗利特.png
火箭,小贾巴里-史密斯,Jabari Smith Jr.,10,前锋,208,100,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_小贾巴里-史密斯.png
火箭,杰夫-格林,Jeff Green,32,前锋,203,107,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/火箭_杰夫-格林.png
湖人,多利安-芬尼-史密斯,Dorian Finney-Smith,17,前锋,201,100,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_多利安-芬尼-史密斯.png
湖人,谢克-米尔顿,Shake Milton,20,后卫,196,93,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_谢克-米尔顿.png
湖人,克里斯蒂安-科洛科,Christian Koloko,10,中锋,213,102,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_克里斯蒂安-科洛科.png
湖人,八村垒,Rui Hachimura,28,前锋,203,104,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_八村垒.png
湖人,特雷-杰米森,Trey Jemison,55,中锋,211,122,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_特雷-杰米森.png
湖人,卢卡-东契奇,Luka Don?i?,77,前锋/后卫,198,104,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_卢卡-东契奇.png
湖人,贾里德-范德比尔特,Jarred Vanderbilt,2,前锋,203,97,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_贾里德-范德比尔特.png
湖人,马基夫-莫里斯,Markieff Morris,88,前锋,206,111,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_马基夫-莫里斯.png
湖人,乔丹-古德温,Jordan Goodwin,30,后卫,196,98,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_乔丹-古德温.png
湖人,亚历克斯-莱恩,Alex Len,27,中锋,213,113,11,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_亚历克斯-莱恩.png
湖人,马克西-克勒贝尔,Maxi Kleber,14,前锋,208,109,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_马克西-克勒贝尔.png
湖人,多尔顿-克内克特,Dalton Knecht,4,前锋,198,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_多尔顿-克内克特.png
湖人,布朗尼-詹姆斯,Bronny James,9,后卫,191,95,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_布朗尼-詹姆斯.png
湖人,加布-文森特,Gabe Vincent,7,后卫,188,91,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_加布-文森特.png
湖人,奥斯汀-里夫斯,Austin Reaves,15,后卫,196,89,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_奥斯汀-里夫斯.png
湖人,勒布朗-詹姆斯,LeBron James,23,前锋,206,113,21,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_勒布朗-詹姆斯.png
湖人,雅克松-海耶斯,Jaxson Hayes,11,中锋/前锋,213,100,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_雅克松-海耶斯.png
湖人,卡梅伦-雷迪什,Cam Reddish,5,-,201,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/湖人_卡梅伦-雷迪什.png
掘金,德安德烈-乔丹,DeAndre Jordan,6,中锋,211,120,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_德安德烈-乔丹.png
掘金,亨特-泰森,Hunter Tyson,5,前锋,203,98,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_亨特-泰森.png
掘金,达里奥-萨里奇,Dario ?ari?,9,前锋/中锋,208,102,7,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_达里奥-萨里奇.png
掘金,达隆-霍姆斯二世,DaRon Holmes II,14,前锋,208,102,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_达隆-霍姆斯二世.png
掘金,乌拉特克-坎卡尔,Vlatko ?an?ar,31,前锋,203,107,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_乌拉特克-坎卡尔.png
掘金,朱利安-斯特劳瑟,Julian Strawther,3,后卫,198,93,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_朱利安-斯特劳瑟.png
掘金,阿隆-戈登,Aaron Gordon,32,前锋,203,107,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_阿隆-戈登.png
掘金,拉塞尔-威斯布鲁克,Russell Westbrook,4,后卫,193,91,16,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/掘金_拉塞尔-威斯布鲁克.png
